canal,category,composition,date,final_Price,homogenized_category,homogenized_clothing,homogenized_color,homogenized_subcategory,image,item,item_characteristics,made_in,marca,modelo,price,sale_price,sales_flag,sku,stock,subcategory,subcategory2,subcategory3,upc,upc_wm,upc_wm2,url_sku
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1368851/63_649E902_110000_0.jpg?v=638291775330800000,""Camiseta Gráfica de Hombre, Slim Fit Cuello Redondo - Diseño Chevignon Racing Estampado Photo Print Espalda"",,,,Rojo,129900,129900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1369567/63_649E008_140000_0.jpg?v=638306535392500000,""Camiseta Gráfica de Hombre, Slim Fit Cuello Redondo - Aplique + Estampación Textil"",,,,Beige,159900,159900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1370088/63_649E008_090000_0.jpg?v=638306541194270000,""Camiseta Gráfica de Hombre, Slim Fit Cuello Redondo - Aplique + Estampación Textil"",,,,Negro,159900,159900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1376641/63_649E027_052900_0.jpg?v=638331642598170000,""Camiseta Gráfica de Hombre, Slim Fit Cuello Redondo - Diseño Estampación Textil Tela Jaspeada"",,,,Gris,129900,129900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1376606/63_649E007_031600_0.jpg?v=638331642513400000,""Camiseta Gráfica de Hombre, Slim Fit Cuello Redondo - Estampación Textil"",,,,Blanco,129900,129900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1365966/63_642E012_052900_0.jpg?v=638277120421800000,""Camiseta Gráfica de Hombre, Classic Fit Cuello Redondo - Gráficos en Frente y Espalda"",,,,Gris,129900,129900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1370955/63_649E020_051100_0.jpg?v=638307429353830000,""Camiseta Básica de Hombre, Slim Fit Cuello Redondo - Algodón Pima"",,,,Gris,119900,119900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1368370/63_642E013_100000_0.jpg?v=638288322569600000,""Camiseta de Hombre, Classic Fit Cuello Redondo - Bloques en Contraste y Sesgos"",,,,Verde,159900,159900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1370939/63_649E020_110000_0.jpg?v=638307429284300000,""Camiseta Básica de Hombre, Slim Fit Cuello Redondo - Algodón Pima"",,,,Rojo,119900,119900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1371058/63_649E020_010000_0.jpg?v=638307432356000000,""Camiseta Básica de Hombre, Slim Fit Cuello Redondo - Algodón Pima"",,,,Amarillo,119900,119900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1366427/63_642E010_111200_0.jpg?v=638277129333700000,""Camiseta Gráfica de Hombre, Slim Fit Cuello Redondo - Efecto Neps + Estampación Textil"",,,,Rojo,129900,129900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1370942/63_649E020_101200_0.jpg?v=638307429296170000,""Camiseta Básica de Hombre, Slim Fit Cuello Redondo - Algodón Pima"",,,,Verde,119900,119900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1367056/63_642E025_090000_0.jpg?v=638288295322770000,""Camiseta de Hombre, Classic Fit Cuello Redondo - Bloques en Contraste y Sesgos"",,,,Negro,159900,159900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1367492/63_642E011_140000_0.jpg?v=638288304322500000,""Camiseta Gráfica de Hombre, Slim Fit Cuello Redondo - Efecto Neps + Estampación Textil"",,,,Beige,129900,129900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1370743/63_649E004_110000_0.jpg?v=638306556374570000,""Camiseta Gráfica de Hombre, Slim Fit Cuello Redondo - Estampación Textil"",,,,Rojo,129900,129900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1202999/63_640C020_052900_0.jpg?v=638150940652230000,""Camiseta Básica de Hombre, Slim Fit Cuello Redondo - Algodón Pima"",,,,Gris,109900,109900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1370308/63_649E003_101200_0.jpg?v=638306550851700000,""Camiseta Gráfica de Hombre, Slim Fit Cuello Redondo - Estampación Textil"",,,,Verde,129900,129900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1365452/63_642E001_101300_0.jpg?v=638277111137330000,""Camiseta Básica de Hombre, Slim Fit Cuello Redondo - 100% Algodón"",,,,Verde,98900,98900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1366154/63_642E001_111300_0.jpg?v=638277123353230000,""Camiseta Básica de Hombre, Slim Fit Cuello Redondo - 100% Algodón"",,,,Rojo,98900,98900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1365678/63_642E001_120000_0.jpg?v=638277114399030000,""Camiseta Básica de Hombre, Slim Fit Cuello Redondo - 100% Algodón"",,,,Rosa,98900,98900,,,,Camisetas,,,,,,"
