canal,category,composition,date,final_Price,homogenized_category,homogenized_clothing,homogenized_color,homogenized_subcategory,image,item,item_characteristics,made_in,marca,modelo,price,sale_price,sales_flag,sku,stock,subcategory,subcategory2,subcategory3,upc,upc_wm,upc_wm2,url_sku
Chevignon,Kids,Prenda: 99% Algodon 1% Elastano,24/10/2023,109900,,,,,https://chevignon.vtexassets.com/arquivos/ids/1353649/63_812E003_020000_0.jpg?v=638237433573630000,"Camisa de Niño en Denim, Straight Fit Manga Larga - Bordado de Pato Multicolor","Descripción:  Camisa de niño en denim liviano, straight fit (silueta recta). Color azul, tono medio. Manga larga, cuello camisero con button down y perilla sobrepuesta con botones en jaspeados color madera. Elaborada en denim, en mezcla de algodón y elastano para proporcionar comodidad. Bordado de pato multicolor en el frente. Marquilla tejida en el costado. | Lavado PRENDALAVADO: Temperatura máxima de lavado  40 ºC.  Proceso normal.BLANQUEADO: No usar blanqueador.SECADO: No secar en máquina.SECADO: Secado en tendedero a la sombra.PLANCHADO: Planchar a una temperatura máxima de la base  de 150 ºC.CUIDADO TEXTIL PROFESIONAL: No limpieza en seco.OTROS: Lavar con colores similares.OTROS: Lavar por el revés.OTROS: No remojar.OTROS: No planchar los accesorios. | Composición : Prenda: 99% Algodon 1% Elastano",Colombia,Chevignon,Azul,109900,109900,,63_812E003_020000,8,Ropa Ninos,Camisas,,63_812E003_020000_Azul_8,63_812E003_020000,63_812E003_020000,www.chevignon.com.co
Chevignon,Kids,Prenda: 97% Algodon 3% Elastano,24/10/2023,98900,,,,,https://chevignon.vtexassets.com/arquivos/ids/1289914/63_801E105_110000_0.jpg?v=638182922124670000,"Camiseta de Niño Tipo Polo, Regular Fit Manga Corta - Rayas Bicolor","Descripción:  Camiseta de niño tipo polo, regular fit (silueta recta).Manga corta, cuello y puños tejidos a tono, y perilla de caja con botones tono a tono.Elaborada en mezcla de algodón y elastano para proporcionar comodidad.Diseño a rayas.Bordado de pato en el frente. | Lavado PRENDALAVADO: Temperatura máxima de lavado  30 ºC.  Proceso muy moderado.BLANQUEADO: No usar blanqueador.SECADO: No secar en máquina.SECADO: Secado en tendedero a la sombra.PLANCHADO: Planchar a una temperatura máxima de la base de 110 ºC, sin vapor.   Planchar con vapor puede causar  daño irreversible.CUIDADO TEXTIL PROFESIONAL: No limpieza en seco.OTROS: Lavar separadamente.OTROS: Lavar por el revés.OTROS: No remojar.OTROS: No retorcer ni  exprimir.OTROS: Planchar solo por el revés.OTROS: No planchar los accesorios. | Composición : Prenda: 97% Algodon 3% Elastano",Colombia,Chevignon,Rojo,98900,98900,,63_801E105_110000,8,Ropa Ninos,Camisetas,,63_801E105_110000_Rojo_8,63_801E105_110000,63_801E105_110000,www.chevignon.com.co
Chevignon,Kids,Prenda: 100% Algodon,24/10/2023,48930,,,,,https://chevignon.vtexassets.com/arquivos/ids/1310348/63_841E102_101100_0.jpg?v=638209341068430000,"Camiseta de Niño, Cuello Redondo - Rayas Bicolor","Descripción:  Camiseta de niño, regular fit (silueta recta). Manga corta, cuello redondo en rib. Elaborada en 100% algodón. Diseño a rayas. Bordado de pato en el frente.  Diseño básico de la marca, fundamental como prenda de fondo de armario. | Lavado PRENDALAVADO: Temperatura máxima de lavado  30 ºC.  Proceso muy moderado.BLANQUEADO: No usar blanqueador.SECADO: No secar en máquina.SECADO: Secado en tendedero a la sombra.PLANCHADO: Planchar a una temperatura máxima de la base de 110 ºC, sin vapor.   Planchar con vapor puede causar  daño irreversible.CUIDADO TEXTIL PROFESIONAL: No limpieza en seco.OTROS: Lavar separadamente.OTROS: Lavar por el revés.OTROS: No remojar.OTROS: No retorcer ni  exprimir.OTROS: Planchar solo por el revés.OTROS: No planchar los accesorios. | Composición : Prenda: 100% Algodon",Colombia,Chevignon,Verde,69900,48930,30.0,63_841E102_101100,6,Ropa Ninos,Camisetas,,63_841E102_101100_Verde_6,63_841E102_101100,63_841E102_101100,www.chevignon.com.co
Chevignon,Kids,Prenda: 100% Algodon,24/10/2023,48930,,,,,https://chevignon.vtexassets.com/arquivos/ids/1310348/63_841E102_101100_0.jpg?v=638209341068430000,"Camiseta de Niño, Cuello Redondo - Rayas Bicolor","Descripción:  Camiseta de niño, regular fit (silueta recta). Manga corta, cuello redondo en rib. Elaborada en 100% algodón. Diseño a rayas. Bordado de pato en el frente.  Diseño básico de la marca, fundamental como prenda de fondo de armario. | Lavado PRENDALAVADO: Temperatura máxima de lavado  30 ºC.  Proceso muy moderado.BLANQUEADO: No usar blanqueador.SECADO: No secar en máquina.SECADO: Secado en tendedero a la sombra.PLANCHADO: Planchar a una temperatura máxima de la base de 110 ºC, sin vapor.   Planchar con vapor puede causar  daño irreversible.CUIDADO TEXTIL PROFESIONAL: No limpieza en seco.OTROS: Lavar separadamente.OTROS: Lavar por el revés.OTROS: No remojar.OTROS: No retorcer ni  exprimir.OTROS: Planchar solo por el revés.OTROS: No planchar los accesorios. | Composición : Prenda: 100% AlgodonPrenda: 100% Algodon",Colombia,Chevignon,Verde,69900,48930,30.0,63_841E102_101100,8,Ropa Ninos,Camisetas,,63_841E102_101100_Verde_8,63_841E102_101100,63_841E102_101100,www.chevignon.com.co
Chevignon,Kids,Prenda: 74% Algodon 23% Poliester 3% Elastano,24/10/2023,90930,,,,,https://chevignon.vtexassets.com/arquivos/ids/1287038/63_831E102_050000_0.jpg?v=638181168074470000,"Jean de Niño 5 Bolsillos, Silueta Ajustada - Gris Oscuro + Rotos","Descripción:  Jean de niño, silueta ajustada. Color gris, tono oscuro. Diseño cinco bolsillos. Pretina con botón metálico, aletilla con cierre, bolsillos delanteros, relojera, garra de cuero en la pretina posterior y bolsillos traseros de parche. Cintura interna con elástico ajustable. Lavado acid wash con rotos y desgaste en bocas de bolsillos. Elaborado en denim con elastano que proporciona a la prenda un look tradicional con elongación. Detalle de hilo rojo en ojal. | Lavado PRENDALAVADO: Temperatura máxima de lavado  40 ºC.  Proceso normal.BLANQUEADO: No usar blanqueador.SECADO: No secar en máquina.SECADO: Secado en tendedero a la sombra.PLANCHADO: No planchar.CUIDADO TEXTIL PROFESIONAL: No limpieza en seco.OTROS: Lavar separadamente.OTROS: Lavar con colores similares.OTROS: Lavar por el revés.OTROS: No remojar. | Composición : Prenda: 74% Algodon 23% Poliester 3% Elastano",Colombia,Chevignon,Gris,129900,90930,30.0,63_831E102_050000,4,Ropa Ninos,Jeans,,63_831E102_050000_Gris_4,63_831E102_050000,63_831E102_050000,www.chevignon.com.co
Chevignon,Kids,Prenda: 98% Algodon 2% Elastomero,24/10/2023,62930,,,,,https://chevignon.vtexassets.com/arquivos/ids/1289640/63_801E100_140000_0.jpg?v=638182920595900000,"Camiseta de Niño Tipo Polo, Regular Fit Manga Corta - Diseño Básico Fondo Entero","Descripción:  Camiseta de niño tipo polo, regular fit (silueta recta). Diseño básico fondo entero. Manga corta, cuello y puños tejidos tono a tono y perilla de caja con botones tono a tono. Elaborada en mezcla de algodón y elastano para proporcionar comodidad. Bordado de pato multicolor en el frente. Bordado de marca tono a tono, en la manga. | Lavado PRENDALAVADO: Temperatura máxima de lavado  30 ºC.  Proceso muy moderado.BLANQUEADO: No usar blanqueador.SECADO: No secar en máquina.SECADO: Secado en tendedero a la sombra.PLANCHADO: Planchar a una temperatura máxima de la base de 110 ºC, sin vapor.   Planchar con vapor puede causar  daño irreversible.CUIDADO TEXTIL PROFESIONAL: No limpieza en seco.OTROS: Lavar separadamente.OTROS: Lavar por el revés.OTROS: No remojar.OTROS: No retorcer ni  exprimir.OTROS: Planchar solo por el revés.OTROS: No planchar los accesorios. | Composición : Prenda: 98% Algodon 2% Elastomero",Colombia,Chevignon,Beige,89900,62930,30.0,63_801E100_140000,14,Ropa Ninos,Camisetas,,63_801E100_140000_Crudo_14,63_801E100_140000,63_801E100_140000,www.chevignon.com.co
Chevignon,Kids,Prenda: 97% Algodon 3% Elastano,24/10/2023,69230,,,,,https://chevignon.vtexassets.com/arquivos/ids/1289679/63_801E105_021300_0.jpg?v=638182920632870000,"Camiseta de Niño Tipo Polo, Regular Fit Manga Corta - Rayas Bicolor","Descripción:  Camiseta de niño tipo polo, regular fit (silueta recta).Manga corta, cuello y puños tejidos a tono, y perilla de caja con botones tono a tono.Elaborada en mezcla de algodón y elastano para proporcionar comodidad.Diseño a rayas.Bordado de pato en el frente. | Lavado PRENDALAVADO: Temperatura máxima de lavado  30 ºC.  Proceso muy moderado.BLANQUEADO: No usar blanqueador.SECADO: No secar en máquina.SECADO: Secado en tendedero a la sombra.PLANCHADO: Planchar a una temperatura máxima de la base de 110 ºC, sin vapor.   Planchar con vapor puede causar  daño irreversible.CUIDADO TEXTIL PROFESIONAL: No limpieza en seco.OTROS: Lavar separadamente.OTROS: Lavar por el revés.OTROS: No remojar.OTROS: No retorcer ni  exprimir.OTROS: Planchar solo por el revés.OTROS: No planchar los accesorios. | Composición : Prenda: 97% Algodon 3% Elastano",Colombia,Chevignon,Azul,98900,69230,30.0,63_801E105_021300,8,Ropa Ninos,Camisetas,,63_801E105_021300_Azul_8,63_801E105_021300,63_801E105_021300,www.chevignon.com.co
Chevignon,Kids,Prenda: 98% Algodon 2% Elastomero,24/10/2023,62930,,,,,https://chevignon.vtexassets.com/arquivos/ids/1289637/63_801E100_101100_0.jpg?v=638182920589500000,"Camiseta de Niño Tipo Polo, Regular Fit Manga Corta - Diseño Básico Fondo Entero","Descripción:  Camiseta de niño tipo polo, regular fit (silueta recta). Diseño básico fondo entero. Manga corta, cuello y puños tejidos tono a tono y perilla de caja con botones tono a tono. Elaborada en mezcla de algodón y elastano para proporcionar comodidad. Bordado de pato multicolor en el frente. Bordado de marca tono a tono, en la manga. | Lavado PRENDALAVADO: Temperatura máxima de lavado  30 ºC.  Proceso muy moderado.BLANQUEADO: No usar blanqueador.SECADO: No secar en máquina.SECADO: Secado en tendedero a la sombra.PLANCHADO: Planchar a una temperatura máxima de la base de 110 ºC, sin vapor.   Planchar con vapor puede causar  daño irreversible.CUIDADO TEXTIL PROFESIONAL: No limpieza en seco.OTROS: Lavar separadamente.OTROS: Lavar por el revés.OTROS: No remojar.OTROS: No retorcer ni  exprimir.OTROS: Planchar solo por el revés.OTROS: No planchar los accesorios. | Composición : Prenda: 98% Algodon 2% Elastomero",Colombia,Chevignon,Verde,89900,62930,30.0,63_801E100_101100,14,Ropa Ninos,Camisetas,,63_801E100_101100_Verde_14,63_801E100_101100,63_801E100_101100,www.chevignon.com.co
Chevignon,Kids,Prenda: 98% Algodon 2% Elastano,24/10/2023,83930,,,,,https://chevignon.vtexassets.com/arquivos/ids/1287030/63_831E101_021200_0.jpg?v=638181168068670000,"Jean de Niño 5 Bolsillos, Silueta Ajustada - Azul Claro","Descripción:  Jean de niño, silueta ajustada. Color azul, tono claro. Diseño cinco bolsillos. Pretina con botón metálico, aletilla con cierre, bolsillos delanteros, relojera, garra de cuero en la pretina posterior y bolsillos traseros de parche. Cintura interna con elástico ajustable. Lavado suave con iluminaciones en piernas y desgaste en bocas de bolsillos. Elaborado en denim con elastano que proporciona a la prenda un look tradicional con elongación. Detalle de hilo rojo en ojal. | Lavado PRENDALAVADO: Temperatura máxima de lavado  40 ºC.  Proceso normal.BLANQUEADO: No usar blanqueador.SECADO: No secar en máquina.SECADO: Secado en tendedero a la sombra.PLANCHADO: No planchar.CUIDADO TEXTIL PROFESIONAL: No limpieza en seco.OTROS: Lavar separadamente.OTROS: Lavar con colores similares.OTROS: Lavar por el revés.OTROS: No remojar. | Composición : Prenda: 98% Algodon 2% Elastano",Colombia,Chevignon,Azul,119900,83930,30.0,63_831E101_021200,10,Ropa Ninos,Jeans,,63_831E101_021200_Azul_10,63_831E101_021200,63_831E101_021200,www.chevignon.com.co
Chevignon,Kids,Prenda: 98% Algodon 2% Elastano,24/10/2023,83930,,,,,https://chevignon.vtexassets.com/arquivos/ids/1287030/63_831E101_021200_0.jpg?v=638181168068670000,"Jean de Niño 5 Bolsillos, Silueta Ajustada - Azul Claro","Descripción:  Jean de niño, silueta ajustada. Color azul, tono claro. Diseño cinco bolsillos. Pretina con botón metálico, aletilla con cierre, bolsillos delanteros, relojera, garra de cuero en la pretina posterior y bolsillos traseros de parche. Cintura interna con elástico ajustable. Lavado suave con iluminaciones en piernas y desgaste en bocas de bolsillos. Elaborado en denim con elastano que proporciona a la prenda un look tradicional con elongación. Detalle de hilo rojo en ojal. | Lavado PRENDALAVADO: Temperatura máxima de lavado  40 ºC.  Proceso normal.BLANQUEADO: No usar blanqueador.SECADO: No secar en máquina.SECADO: Secado en tendedero a la sombra.PLANCHADO: No planchar.CUIDADO TEXTIL PROFESIONAL: No limpieza en seco.OTROS: Lavar separadamente.OTROS: Lavar con colores similares.OTROS: Lavar por el revés.OTROS: No remojar. | Composición : Prenda: 98% Algodon 2% ElastanoPrenda: 98% Algodon 2% Elastano",Colombia,Chevignon,Azul,119900,83930,30.0,63_831E101_021200,12,Ropa Ninos,Jeans,,63_831E101_021200_Azul_12,63_831E101_021200,63_831E101_021200,www.chevignon.com.co
